employee_id,umur,jenis_kelamin,IPK,level,tahun_lulus,status_perkawinan,divisi,rerata_jam_bulanan,tingkat_kepuasan_bekerja,nilai_evaluasi_terakhir,jumlah_proyek_yang_dikerjakan,lama_di_perusahaan,kecelakaan_kerja,promosi_5thn_lalu,tingkat_gaji,resign
10000,,Laki-laki,1.9473030758993706,Junior,,Sudah Menikah,management,210.0,0.82,0.41903492958022004,3,3 Years,belum pernah,belum,sedang,0
10001,,Laki-laki,3.2183457862677676,Full-Time,,Belum Menikah,sales,189.0,0.76,0.5582542955096221,3,24 Months,belum pernah,belum,rendah,0
10002,,Laki-laki,2.117364475677172,Senior,,Sudah Menikah,management,,0.81,0.5803640424394151,5,2 Years,pernah,belum,tinggi,0
10003,,Laki-laki,3.1787479425577967,Full-Time,,Belum Menikah,sales,121.0,0.84,0.4461088693379266,3,36 Months,pernah,belum,rendah,0
10004,34.0,Laki-laki,2.680534814148723,Part-Time,2008.0,Belum Menikah,technical,229.0,0.48,,3,3 Years,belum pernah,belum,rendah,0
10005,,Laki-laki,1.8016488597997404,Junior,,Belum Menikah,sales,272.0,0.1,0.5694731974973299,5,4 Years,belum pernah,belum,sedang,1
10006,,Perempuan,1.1591836227144499,Probation,,Belum Menikah,technical,153.0,0.97,0.493336065322947,3,2 Years,belum pernah,belum,rendah,0
10007,,Laki-laki,0.8650418103884115,Internship,,Sudah Menikah,hr,143.0,0.42,0.4078513663629826,2,3 Years,belum pernah,belum,rendah,1
10008,,Laki-laki,2.935667296178844,Full-Time,,Sudah Menikah,sales,165.0,0.89,0.4119690869380265,3,48 Months,belum pernah,belum,sedang,0
10009,28.0,Laki-laki,2.9886819184419555,Full-Time,2014.0,Belum Menikah,sales,231.0,0.79,,4,24 Months,belum pernah,belum,rendah,0
10010,,Laki-laki,3.0626173505975522,Full-Time,,Belum Menikah,support,271.0,0.71,0.5457836735414894,3,24 Months,belum pernah,belum,rendah,0
10011,,Laki-laki,3.175655514814334,Full-Time,,Sudah Menikah,sales,232.0,0.83,0.5363304278966047,3,2 Years,pernah,belum,sedang,0
10012,,Perempuan,0.9887451142928533,Internship,,Belum Menikah,sales,236.0,0.68,0.4793072351700218,6,36 Months,belum pernah,belum,sedang,0
10013,,Laki-laki,2.0165097660898006,Junior,,Belum Menikah,IT,216.0,0.97,0.4193789162810631,3,3 Years,belum pernah,belum,rendah,0
10014,,Laki-laki,3.079788620660584,Full-Time,,Belum Menikah,sales,269.0,0.83,0.557624575120419,4,60 Months,belum pernah,belum,rendah,1
10015,,Laki-laki,2.0505428874911678,Junior,,Sudah Menikah,support,233.0,0.81,0.43024745827019206,5,72 Months,belum pernah,belum,sedang,1
10016,,Laki-laki,2.453133140898913,Senior,,Belum Menikah,RandD,250.0,0.74,0.2662271323938334,4,4 Years,belum pernah,belum,rendah,0
10017,,Laki-laki,1.5224641825028131,Probation,,Sudah Menikah,technical,201.0,0.5,0.5741705960112897,6,60 Months,belum pernah,belum,sedang,0
10018,,Laki-laki,2.0349094189070156,Junior,,Belum Menikah,technical,236.0,0.87,0.4097448025061223,5,3 Years,belum pernah,belum,sedang,0
10019,,Perempuan,2.4130476158537464,Senior,,Belum Menikah,support,162.0,0.36,0.8048103693425561,3,5 Years,belum pernah,belum,rendah,0
10020,,Perempuan,2.6037032469477843,Part-Time,,Belum Menikah,technical,254.0,0.11,0.6049134355371429,6,4 Years,belum pernah,belum,rendah,1
10021,,Laki-laki,1.9366959035304963,Junior,,Belum Menikah,technical,184.0,0.92,0.6362695143612509,3,3 Years,pernah,belum,rendah,0
10022,,Laki-laki,1.882891896224081,Junior,,Sudah Menikah,marketing,256.0,0.09,0.5723649996874605,7,48 Months,belum pernah,belum,sedang,1
10023,,Laki-laki,2.9462449526947614,Full-Time,,Sudah Menikah,technical,299.0,0.1,0.5412983663914707,6,4 Years,belum pernah,belum,rendah,1
10024,,Laki-laki,1.7286617273927094,Junior,,Belum Menikah,technical,,0.21,0.6403894547691777,3,2 Years,belum pernah,belum,rendah,0
10025,29.0,Laki-laki,2.9442942673187815,Full-Time,2013.0,Sudah Menikah,RandD,,,0.2779677674267276,3,3 Years,belum pernah,belum,sedang,0
10026,,Perempuan,2.3524149227666826,Senior,,Belum Menikah,support,252.0,0.5,0.41314031736269285,3,2 Years,belum pernah,belum,rendah,0
10027,29.0,Laki-laki,2.227583545324851,Senior,2012.0,Sudah Menikah,technical,196.0,0.81,,3,2 Years,belum pernah,belum,rendah,0
10028,28.0,Laki-laki,2.072127275283233,Junior,2013.0,Sudah Menikah,product_mng,205.0,0.88,,4,4 Years,belum pernah,belum,rendah,0
10029,,Laki-laki,2.5630534897262622,Part-Time,,Sudah Menikah,support,186.0,0.61,0.35799400305773293,5,4 Years,belum pernah,belum,sedang,0
10030,,Laki-laki,3.801534803935697,Full-Time,,Sudah Menikah,sales,248.0,0.09,0.5239705777485046,6,4 Years,belum pernah,belum,rendah,1
10031,,Laki-laki,2.606857102419918,Part-Time,,Sudah Menikah,RandD,238.0,0.89,0.5863712264478639,2,48 Months,belum pernah,belum,rendah,0
10032,30.0,Laki-laki,2.951200233429606,Full-Time,2012.0,Sudah Menikah,support,233.0,,,4,4 Years,pernah,belum,rendah,1
10033,,Laki-laki,2.237526443528839,Senior,,Sudah Menikah,technical,137.0,0.49,0.3833250544518016,4,4 Years,belum pernah,belum,tinggi,0
10034,,Perempuan,1.2214414852058657,Probation,,Belum Menikah,accounting,181.0,0.7,0.49529866025565666,4,3 Years,belum pernah,belum,sedang,0
10035,,Laki-laki,3.008735498100189,Full-Time,,Belum Menikah,sales,,0.72,0.16242964582926425,3,2 Years,pernah,belum,tinggi,0
10036,,Perempuan,2.3009315527341547,Senior,,Belum Menikah,RandD,207.0,0.61,0.4258711295659884,3,36 Months,belum pernah,belum,sedang,0
10037,,Laki-laki,2.4160345218112576,Senior,,Sudah Menikah,sales,242.0,0.89,0.3080227944708489,5,60 Months,belum pernah,belum,rendah,1
10038,,Laki-laki,2.061308433559703,Junior,,Belum Menikah,management,97.0,0.28,0.36968061999313967,4,72 Months,belum pernah,belum,rendah,0
10039,,Laki-laki,1.0952420346426697,Internship,,Sudah Menikah,IT,233.0,0.53,0.4458176096801563,3,4 Years,belum pernah,belum,rendah,0
10040,,Perempuan,2.420490386144807,Senior,,Belum Menikah,sales,255.0,0.5,0.3784661751184246,5,3 Years,belum pernah,belum,sedang,0
10041,,Perempuan,3.2116709493212516,Full-Time,,Belum Menikah,support,257.0,0.8,0.44056945990357527,3,5 Years,belum pernah,belum,sedang,0
10042,,Laki-laki,1.5738227055004779,Probation,,Sudah Menikah,technical,268.0,0.86,0.4885168411218195,5,60 Months,belum pernah,belum,sedang,1
10043,,Laki-laki,2.439746849531787,Senior,,Sudah Menikah,support,137.0,0.43,0.46653867142422456,2,3 Years,belum pernah,belum,sedang,1
10044,,Laki-laki,1.5632479893262372,Probation,,Sudah Menikah,technical,170.0,0.72,0.40494155030833245,5,3 Years,belum pernah,belum,sedang,0
10045,,Perempuan,0.9855380809697841,Internship,,Belum Menikah,hr,191.0,0.31,0.40533351787999805,2,3 Years,belum pernah,belum,sedang,0
